
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
87 he4+li7-->n+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.7900 prefac=1.0000 RGsymb:a+b<->c+d
88 n+b10-->he4+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.7900 prefac=1.0000 RGsymb:a+b<->c+d
89 he3+li7-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=9.6278 prefac=1.0000 RGsymb:a+b<->c+d+e+f
90 be7+e-->li7+nu reacClass=1 #react=1 #prod=1 isEC=1 isReverse=0 Q=0.8620 prefac=1.0000 RGsymb:a<->b
91 p+be7-->b8 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=0.1370 prefac=1.0000 RGsymb:a+b<->c
92 p+be7-->b8 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=0.1370 prefac=1.0000 RGsymb:a+b<->c
93 b8-->p+be7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-0.1370 prefac=1.0000 RGsymb:a+b<->c
94 b8-->p+be7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-0.1370 prefac=1.0000 RGsymb:a+b<->c
95 he4+be7-->p+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1460 prefac=1.0000 RGsymb:a+b<->c+d
96 he4+be7-->p+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1460 prefac=1.0000 RGsymb:a+b<->c+d
97 p+b10-->he4+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1460 prefac=1.0000 RGsymb:a+b<->c+d
98 p+b10-->he4+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1460 prefac=1.0000 RGsymb:a+b<->c+d
99 he3+be7-->p+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=11.2721 prefac=1.0000 RGsymb:a+b<->c+d+e+f
100 p+be9-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5860 prefac=1.0000 RGsymb:a+b<->c
101 p+be9-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5860 prefac=1.0000 RGsymb:a+b<->c
102 b10-->p+be9 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5860 prefac=1.0000 RGsymb:a+b<->c
103 b10-->p+be9 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5860 prefac=1.0000 RGsymb:a+b<->c
104 he4+be9-->n+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7010 prefac=1.0000 RGsymb:a+b<->c+d
105 he4+be9-->n+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7010 prefac=1.0000 RGsymb:a+b<->c+d
